id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31388,Las Vegas MGM Signature Condo,134746,Kim,,Unincorporated Areas,36.1052,-115.16777,Private room,240,2,6,2020-09-07,0.05,1,279
41656,#TOP Floor 2BR/3BA Penthouse @MGMSig,181985,Paul,,Unincorporated Areas,36.10592,-115.16506,Entire home/apt,294,3,70,2021-04-05,0.55,7,35
44495,Bedroom with private bath in Southwest Las Vegas,195560,Lenore,,Unincorporated Areas,36.0116,-115.29714,Private room,40,2,46,2021-04-19,0.38,1,86
44701,"Jan1-8, 2022 for CES, 1 block from Strip, Sleeps 6",189245,Christine,,Unincorporated Areas,36.11697,-115.16397,Entire home/apt,350,7,2,2020-01-12,0.04,1,86
61643,2BR/2BA Strip View@MGM Signature,181985,Paul,,Unincorporated Areas,36.10641,-115.16691,Entire home/apt,226,3,119,2021-04-19,1.01,7,195
113019,MGM Signature Studio W/ View!,575684,LasVegasSuites,,Unincorporated Areas,36.10731,-115.16467,Entire home/apt,103,2,150,2021-04-08,1.30,13,105
114140,MGM Signature 1BR/2BA Suite W/ View,575684,LasVegasSuites,,Unincorporated Areas,36.1087,-115.16571,Entire home/apt,126,2,121,2021-03-10,1.14,13,156
137104,Vegas Luxury Palms Place Penthouse,670587,Premier,,Unincorporated Areas,36.11363,-115.1997,Entire home/apt,1900,2,51,2020-07-04,0.43,1,363
143096,Furnished Las Vegas House with Pool,694506,Shari,,Unincorporated Areas,36.0515,-115.22581,Entire home/apt,150,29,216,2021-03-01,1.81,1,309
161848,1 B/R Condo 2 miles W. Of The Strip,773999,Ken,,Unincorporated Areas,36.09734,-115.21124,Entire home/apt,92,1,110,2019-09-15,1.03,2,50
169335,Corporate Private room for rent with private bath,806881,Jeven,,City of Las Vegas,36.23247,-115.27123,Private room,70,30,33,2018-03-18,0.39,2,365
200680,"Pool Villa - 15 mins to Strip, 20 mins to Red Rock",981582,Jason & Kevin,,Unincorporated Areas,36.10438,-115.28984,Entire home/apt,465,2,120,2021-04-05,1.06,10,333
201619,Las Vegas Luxury house with pool,974021,Natalie,,Unincorporated Areas,36.07767,-115.2739,Entire home/apt,409,4,96,2021-04-13,0.82,1,293
202452,Las Vegas Excitement/Romantic Stay,991487,Duke,,Unincorporated Areas,36.02031,-115.2739,Entire home/apt,145,2,225,2021-04-19,1.99,1,193
216979,1 Bedroom Condo 2 miles to strip 1 block Orleans,773999,Ken,,Unincorporated Areas,36.09757,-115.21163,Entire home/apt,91,1,19,2020-03-13,0.53,2,18
243305,las Vegas holiday resort 1 week  (51),65714,John,,Unincorporated Areas,36.10808,-115.16878,Entire home/apt,190,7,0,,,1,178
258872,Your home away from home awaits!,1360561,Rosa,,City of Las Vegas,36.15303,-115.14884,Entire home/apt,200,2,216,2021-04-10,1.91,1,133
259375,"Elara by Hilton, Las Vegas, Center Strip",974582,Yiwen,,Unincorporated Areas,36.10857,-115.16933,Private room,199,4,2,2019-01-04,0.02,1,0
290179,#StripView JR Suite @ MGM Signature,181985,Paul,,Unincorporated Areas,36.10582,-115.1677,Entire home/apt,119,3,30,2021-04-13,0.27,7,204
