id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31388,Las Vegas MGM Signature Condo,134746,Kim,,Unincorporated Areas,36.1052,-115.16777,Private room,240,2,6,2020-09-07,0.05,1,263,1,
41656,#TOP Floor 2BR/3BA Penthouse @MGMSig,181985,Paul,,Unincorporated Areas,36.10592,-115.16506,Entire home/apt,294,3,71,2021-07-03,0.91,7,22,9,
44495,Bedroom with private bath in Southwest Las Vegas,195560,Lenore,,Unincorporated Areas,36.0116,-115.29714,Private room,50,2,52,2021-06-30,1.57,1,70,9,
44701,"Jan1-8, 2022 for CES, 1 block from Strip, Sleeps 6",189245,Christine,,Unincorporated Areas,36.11697,-115.16397,Entire home/apt,350,7,2,2020-01-12,0.04,1,168,0,
61643,2BR/2BA Strip View@MGM Signature,181985,Paul,,Unincorporated Areas,36.10641,-115.16691,Entire home/apt,226,3,127,2021-06-27,1.77,7,40,15,
113019,MGM Signature Studio W/ View!,575684,LasVegasSuites,,Unincorporated Areas,36.10731,-115.16467,Entire home/apt,123,2,154,2021-07-05,1.44,13,35,7,
114140,MGM Signature 1BR/2BA Suite W/ View,575684,LasVegasSuites,,Unincorporated Areas,36.1087,-115.16571,Entire home/apt,192,2,123,2021-07-08,4.26,13,72,3,
137104,Vegas Luxury Palms Place Penthouse,670587,Premier,,Unincorporated Areas,36.11363,-115.1997,Entire home/apt,1900,2,51,2020-07-04,1.03,1,361,0,
143096,Furnished Las Vegas House with Pool,694506,Shari,,Unincorporated Areas,36.0515,-115.22581,Entire home/apt,150,29,225,2021-07-06,2.33,1,213,15,
161848,1 B/R Condo 2 miles W. Of The Strip,773999,Ken,,Unincorporated Areas,36.09734,-115.21124,Entire home/apt,92,1,110,2019-09-15,1.24,2,42,0,
169335,Corporate Private room for rent with private bath,806881,Jeven,,City of Las Vegas,36.23247,-115.27123,Private room,70,30,33,2018-03-18,0.51,2,365,0,
200680,"Pool Villa - 15 mins to Strip, 20 mins to Red Rock",981582,Jason & Kevin,,Unincorporated Areas,36.10438,-115.28984,Entire home/apt,471,2,129,2021-06-18,2.02,8,337,29,
201619,Las Vegas Luxury house with the pool,974021,Natalie,,Unincorporated Areas,36.07767,-115.2739,Entire home/apt,409,4,98,2021-05-19,1.12,1,297,21,
202452,Las Vegas Excitement/Romantic Stay,991487,Duke,,Unincorporated Areas,36.02031,-115.2739,Entire home/apt,145,2,234,2021-07-11,4.26,1,156,29,
216979,1 Bedroom Condo 2 miles to strip 1 block Orleans,773999,Ken,,Unincorporated Areas,36.09757,-115.21163,Entire home/apt,91,1,19,2020-03-13,0.61,2,43,0,
218504,TOP FLOOR MGM Signature 1BR Suite w/ Balcony,181985,Paul,,Unincorporated Areas,36.10653,-115.16727,Entire home/apt,135,2,205,2020-10-12,2.05,7,9,1,
