id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31388,Las Vegas MGM Signature Condo,134746,Kim,,Unincorporated Areas,36.1052,-115.16777,Private room,240,2,6,2020-09-07,0.05,1,263,1,
44495,Bedroom with private bath in Southwest Las Vegas,195560,Lenore,,Unincorporated Areas,36.0116,-115.29714,Private room,50,2,54,2021-07-12,1.56,1,77,11,
44701,"Jan1-8, 2022 for CES, 1 block from Strip, Sleeps 6",189245,Christine,,Unincorporated Areas,36.11697,-115.16397,Entire home/apt,275,7,2,2020-01-12,0.03,1,208,0,
113019,MGM Signature Studio W/ View!,575684,LasVegasSuites,,Unincorporated Areas,36.10731,-115.16467,Entire home/apt,249,2,156,2021-07-27,1.44,13,105,9,
114140,MGM Signature 1BR/2BA Suite W/ View,575684,LasVegasSuites,,Unincorporated Areas,36.1087,-115.16571,Entire home/apt,186,2,126,2021-08-08,4.17,13,60,6,
137104,Vegas Luxury Palms Place Penthouse,670587,Premier,,Unincorporated Areas,36.11363,-115.1997,Entire home/apt,1900,2,51,2020-07-04,1.00,1,361,0,
143096,Furnished Las Vegas House with Pool,694506,Shari,,Unincorporated Areas,36.0515,-115.22581,Entire home/apt,150,29,227,2021-07-20,2.32,1,215,14,
161848,1 B/R Condo 2 miles W. Of The Strip,773999,Ken,,Unincorporated Areas,36.09734,-115.21124,Entire home/apt,92,1,110,2019-09-15,1.22,2,55,0,
169335,Corporate Private room for rent with private bath,806881,Jeven,,City of Las Vegas,36.23247,-115.27123,Private room,70,30,33,2018-03-18,0.50,2,352,0,
200680,"Pool Villa - 15 mins to Strip, 20 mins to Red Rock",981582,Jason & Kevin,,Unincorporated Areas,36.10438,-115.28984,Entire home/apt,496,2,131,2021-08-08,2.01,11,355,25,
201619,Las Vegas Luxury house with the pool,974021,Natalie,,Unincorporated Areas,36.07767,-115.2739,Entire home/apt,409,4,100,2021-08-14,1.13,1,318,20,
202452,Las Vegas Excitement/Romantic Stay,991487,Duke,,Unincorporated Areas,36.02031,-115.2739,Entire home/apt,151,2,239,2021-08-19,4.25,1,154,29,
216979,1 Bedroom Condo 2 miles to strip 1 block Orleans,773999,Ken,,Unincorporated Areas,36.09757,-115.21163,Entire home/apt,91,1,19,2020-03-13,0.59,2,81,0,
243305,las Vegas holiday resort 1 week  (51),65714,John,,Unincorporated Areas,36.10808,-115.16878,Entire home/apt,190,7,0,,,1,178,0,
258872,Your home away from home awaits!,1360561,Rosa,,City of Las Vegas,36.15303,-115.14884,Entire home/apt,235,3,229,2021-08-09,2.73,1,124,36,
294706,Quality Vacation in 3.5 🌟 Resort Suite 900sf,1523583,Robert,,Unincorporated Areas,36.06046,-115.17087,Entire home/apt,160,3,4,2021-06-18,0.07,1,99,1,
353122,"Vegas Villa - 2500 sq ft, 8 mins to the Strip",981582,Jason & Kevin,,Unincorporated Areas,36.09733,-115.23129,Entire home/apt,335,3,65,2021-07-24,0.61,11,332,5,
379026,1BD/1BA - SFH  month-to-month  entire house/garden,1903260,Elisabeth,,City of Las Vegas,36.15515,-115.28376,Entire home/apt,50,30,16,2021-07-05,0.21,1,263,2,
448160,Beautiful Villa in VEGAS,2225816,Jack,,Unincorporated Areas,36.05089,-115.13317,Private room,75,3,144,2020-03-10,1.93,1,175,0,
548524,"Las Vegas Pool House! Private Pool, Hot Tub, and Gigabit Internet in Ranch Home Near Downtown and Strip",2694714,Alex,,City of Las Vegas,36.15198,-115.13153,Entire home/apt,310,2,225,2021-08-08,3.95,1,263,29,
559871,condo in Las Vegas Tropicana,103427,Jacqueline M,,Unincorporated Areas,36.10072,-115.24644,Entire home/apt,307,2,0,,,6,365,0,
576367,2BR/2BA CENTER STRIP No Resort Fees! Free Parking!,1772843,Sheila,,Unincorporated Areas,36.10939,-115.17559,Entire home/apt,222,3,59,2019-03-25,0.56,19,253,0,
588895,MGM Signature Deluxe Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10836,-115.16444,Entire home/apt,155,2,150,2021-08-07,1.79,13,73,18,
598791,1 BR Center Strip Suite-NoResort Fees/FreeParking!,1772843,Sheila,,Unincorporated Areas,36.11108,-115.17545,Entire home/apt,150,3,114,2021-05-17,1.26,19,261,4,
601124,1 BR Center Strip Suite-NoResort Fees/FreeParking!,1772843,Sheila,,Unincorporated Areas,36.11018,-115.17519,Entire home/apt,150,3,59,2021-02-15,0.81,19,263,1,
639353,MGM Signature 1BR/2BA Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10752,-115.16636,Entire home/apt,194,2,104,2021-05-03,3.63,13,231,1,
640625,MGM Signature Junior Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10862,-115.16652,Entire home/apt,124,2,157,2021-08-06,1.60,13,79,1,
642588,MGM Signature 2BR/3BA Suite!!,575684,LasVegasSuites,,Unincorporated Areas,36.10871,-115.16571,Entire home/apt,543,2,101,2020-08-22,1.01,13,219,1,
652512,Luxurious Villa at Lake Las Vegas,3279603,Da,,City of Henderson,36.11518,-114.93084,Entire home/apt,135,30,0,,,1,346,0,
658643,Palms Place Balcony Strip View free wifi,3321660,Mike And Penny,,Unincorporated Areas,36.1149,-115.19771,Entire home/apt,108,1,302,2021-08-21,3.15,1,103,57,
682065,"Close To Strip! Pool, Spa & WIFI!!!",3474397,Anthony,,Unincorporated Areas,36.11974,-115.22078,Entire home/apt,314,3,167,2021-08-02,2.02,12,326,35,
685405,MGM Signature Penthouse 1BR/2BA Ste,575684,LasVegasSuites,,Unincorporated Areas,36.1075,-115.16477,Entire home/apt,173,1,128,2021-07-26,1.38,13,213,15,
695893,"condos in Las Vegas, Spencer Street",103427,Jacqueline M,,Unincorporated Areas,36.11186,-115.12971,Entire home/apt,307,2,0,,,6,364,0,
698126,Cozy / Mins to Strip / Private Pool & Yoga Space,1976268,Marco,,Unincorporated Areas,36.09005,-115.25709,Entire home/apt,309,3,93,2021-08-14,2.51,1,144,27,
707573,MGM Signature 2BR/3BA w/ Balcony,575684,LasVegasSuites,,Unincorporated Areas,36.10656,-115.16728,Entire home/apt,506,2,84,2020-09-27,0.86,13,222,1,
736193,"CLOSE TO THE STRIP, PVT. HOT TUB!",3842205,Nicolo,,Unincorporated Areas,36.1242,-115.14908,Entire home/apt,75,31,157,2021-05-06,2.42,2,21,3,
